Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
Short First;2;0;9;196;1044;
Short First;2;0;12;243;1064;
Short First;2;0;12;247;1224;
Short First;2;0;9;196;1288;
Short First;2;0;9;196;1244;
Short First;2;0;9;196;1461;
Short First;2;0;9;196;739;
Short First;2;0;9;196;676;
Short First;2;0;9;196;681;
Short First;2;0;12;243;979;
Short First;2;0;9;196;1067;
Short First;2;0;9;196;821;
Short First;2;0;9;196;780;
Short First;2;0;9;196;768;
Short First;2;0;9;196;813;
Short First;2;0;9;196;807;
Short First;2;0;9;196;934;
Short First;2;0;9;196;1680;
Short First;2;0;9;196;1078;
Short First;2;0;9;196;760;
Short First;2;0;9;196;829;
Short First;2;0;9;196;787;
Short First;2;0;9;196;705;
Short First;2;0;9;196;906;
Short First;2;0;9;196;772;
Short First;2;0;9;196;863;
Short First;2;0;9;196;784;
Short First;2;0;9;196;859;
Short First;2;0;9;196;768;
Short First;2;0;9;196;970;
Short First;2;0;9;196;850;
Short First;2;0;9;196;739;
Short First;2;0;12;243;1141;
Short First;2;0;9;196;952;
Short First;2;0;9;196;779;
Short First;2;0;9;196;699;
Short First;2;0;9;196;709;
Short First;2;0;9;196;868;
Short First;2;0;9;196;761;
Short First;2;0;9;196;795;
Short First;2;0;9;196;790;
Short First;2;0;9;196;746;
Short First;2;0;9;196;816;
Short First;2;0;9;196;746;
Short First;2;0;9;196;823;
Short First;2;0;9;196;735;
Short First;2;0;9;196;871;
Short First;2;0;9;196;733;
Short First;2;0;9;196;887;
Short First;2;0;9;196;834;
Short First;2;0;9;196;1059;
Short First;2;0;9;196;805;
Short First;2;0;9;196;923;
Short First;2;0;9;196;724;
Short First;2;0;9;196;802;
Short First;2;0;12;243;858;
Short First;2;0;9;196;744;
Short First;2;0;9;196;767;
Short First;2;0;12;243;1184;
Short First;2;0;9;196;836;
Short First;2;0;12;243;1038;
Short First;2;0;9;196;811;
Short First;2;0;9;196;878;
Short First;2;0;9;196;851;
Short First;2;0;9;196;672;
Short First;2;0;9;196;1066;
Short First;2;0;9;196;760;
Short First;2;0;9;196;960;
Short First;2;0;9;196;806;
Short First;2;0;9;196;985;
Short First;2;0;9;196;956;
Short First;2;0;9;196;828;
Short First;2;0;9;196;772;
Short First;2;0;9;196;754;
Short First;2;0;9;196;801;
Short First;2;0;9;196;786;
Short First;2;0;9;196;724;
Short First;2;0;9;196;766;
Short First;2;0;9;196;905;
Short First;2;0;9;196;753;
Short First;2;0;9;196;851;
Short First;2;0;9;196;715;
Short First;2;0;12;247;950;
Short First;2;0;9;196;722;
Short First;2;0;9;196;714;
Short First;2;0;9;196;789;
Short First;2;0;9;196;947;
Short First;2;0;9;196;751;
Short First;2;0;9;196;662;
Short First;2;0;9;196;751;
Short First;2;0;9;196;785;
Short First;2;0;9;196;797;
Short First;2;0;9;196;749;
Short First;2;0;9;196;864;
Short First;2;0;9;196;787;
Short First;2;0;9;196;845;
Short First;2;0;9;196;797;
Short First;2;0;9;196;712;
Short First;2;0;9;196;881;
