Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
Short First;1;0;9;196;1255;
Short First;1;0;9;196;843;
Short First;1;0;9;196;853;
Short First;1;0;9;196;1113;
Short First;1;0;9;196;856;
Short First;1;0;9;196;843;
Short First;1;0;9;196;847;
Short First;1;0;9;196;801;
Short First;1;0;9;196;785;
Short First;1;0;9;196;819;
Short First;1;0;9;196;877;
Short First;1;0;9;196;845;
Short First;1;0;9;196;952;
Short First;1;0;9;196;1038;
Short First;1;0;9;196;1232;
Short First;1;0;9;196;796;
Short First;1;0;9;196;883;
Short First;1;0;9;196;931;
Short First;1;0;9;196;838;
Short First;1;0;9;196;818;
Short First;1;0;9;196;935;
Short First;1;0;9;196;801;
Short First;1;0;9;196;752;
Short First;1;0;9;196;888;
Short First;1;0;9;196;985;
Short First;1;0;9;196;806;
Short First;1;0;9;196;704;
Short First;1;0;9;196;965;
Short First;1;0;9;196;822;
Short First;1;0;9;196;1042;
Short First;1;0;9;196;774;
Short First;1;0;9;196;927;
Short First;1;0;9;196;832;
Short First;1;0;9;196;1081;
Short First;1;0;9;196;812;
Short First;1;0;9;196;815;
Short First;1;0;9;196;836;
Short First;1;0;9;196;801;
Short First;1;0;9;196;1105;
Short First;1;0;9;196;795;
Short First;1;0;9;196;1002;
Short First;1;0;9;196;778;
Short First;1;0;9;196;970;
Short First;1;0;9;196;925;
Short First;1;0;9;196;1091;
Short First;1;0;9;196;919;
Short First;1;0;9;196;978;
Short First;1;0;9;196;971;
Short First;1;0;9;196;1159;
Short First;1;0;9;196;821;
Short First;1;0;9;196;756;
Short First;1;0;9;196;971;
Short First;1;0;9;196;852;
Short First;1;0;9;196;1060;
Short First;1;0;9;196;840;
Short First;1;0;9;196;1150;
Short First;1;0;9;196;1077;
Short First;1;0;9;196;845;
Short First;1;0;9;196;1115;
Short First;1;0;9;196;941;
Short First;1;0;9;196;1054;
Short First;1;0;9;196;935;
Short First;1;0;9;196;826;
Short First;1;0;9;196;1038;
Short First;1;0;9;196;825;
Short First;1;0;9;196;899;
Short First;1;0;9;196;836;
Short First;1;0;9;196;973;
Short First;1;0;9;196;883;
Short First;1;0;9;196;852;
Short First;1;0;9;196;895;
Short First;1;0;9;196;828;
Short First;1;0;9;196;861;
Short First;1;0;9;196;805;
Short First;1;0;9;196;773;
Short First;1;0;9;196;781;
Short First;1;0;9;196;833;
Short First;1;0;9;196;830;
Short First;1;0;9;196;792;
Short First;1;0;9;196;1102;
Short First;1;0;9;196;870;
Short First;1;0;9;196;873;
Short First;1;0;9;196;776;
Short First;1;0;9;196;966;
Short First;1;0;9;196;785;
Short First;1;0;9;196;821;
Short First;1;0;9;196;995;
Short First;1;0;9;196;982;
Short First;1;0;9;196;852;
Short First;1;0;9;196;1239;
Short First;1;0;9;196;873;
Short First;1;0;9;196;893;
Short First;1;0;9;196;732;
Short First;1;0;9;196;999;
Short First;1;0;9;196;1005;
Short First;1;0;9;196;953;
Short First;1;0;9;196;1035;
Short First;1;0;9;196;2885;
Short First;1;0;9;196;918;
Short First;1;0;9;196;1003;
