Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
Short First;2;1;9;196;882;
Short First;2;1;9;196;814;
Short First;2;1;9;196;795;
Short First;2;1;9;196;780;
Short First;2;1;9;196;825;
Short First;2;1;9;196;778;
Short First;2;1;9;196;776;
Short First;2;1;9;196;1119;
Short First;2;1;9;196;939;
Short First;2;1;9;196;1113;
Short First;2;1;9;196;933;
Short First;2;1;9;196;1101;
Short First;2;1;9;196;784;
Short First;2;1;9;196;909;
Short First;2;1;9;196;727;
Short First;2;1;9;196;875;
Short First;2;1;9;196;914;
Short First;2;1;9;196;784;
Short First;2;1;9;196;1033;
Short First;2;1;9;196;756;
Short First;2;1;9;196;842;
Short First;2;1;9;196;706;
Short First;2;1;9;196;975;
Short First;2;1;9;196;708;
Short First;2;1;9;196;1001;
Short First;2;1;9;196;1084;
Short First;2;1;9;196;766;
Short First;2;1;9;196;821;
Short First;2;1;12;243;1123;
Short First;2;1;9;196;789;
Short First;2;1;9;196;903;
Short First;2;1;9;196;735;
Short First;2;1;9;196;806;
Short First;2;1;9;196;735;
Short First;2;1;9;196;746;
Short First;2;1;9;196;718;
Short First;2;1;12;243;806;
Short First;2;1;9;196;865;
Short First;2;1;9;196;728;
Short First;2;1;9;196;798;
Short First;2;1;9;196;808;
Short First;2;1;9;196;745;
Short First;2;1;9;196;740;
Short First;2;1;9;196;1079;
Short First;2;1;12;243;832;
Short First;2;1;9;196;697;
Short First;2;1;9;196;676;
Short First;2;1;9;196;722;
Short First;2;1;9;196;960;
Short First;2;1;9;196;821;
Short First;2;1;9;196;884;
Short First;2;1;9;196;684;
Short First;2;1;9;196;888;
Short First;2;1;9;196;753;
Short First;2;1;9;196;935;
Short First;2;1;12;233;809;
Short First;2;1;9;196;812;
Short First;2;1;9;196;832;
Short First;2;1;9;196;756;
Short First;2;1;9;196;807;
Short First;2;1;9;196;717;
Short First;2;1;9;196;894;
Short First;2;1;9;196;759;
Short First;2;1;9;196;745;
Short First;2;1;9;196;924;
Short First;2;1;9;196;757;
Short First;2;1;9;196;771;
Short First;2;1;9;196;712;
Short First;2;1;9;196;817;
Short First;2;1;9;196;716;
Short First;2;1;9;196;794;
Short First;2;1;9;196;734;
Short First;2;1;9;196;734;
Short First;2;1;9;196;740;
Short First;2;1;9;196;736;
Short First;2;1;9;196;918;
Short First;2;1;9;196;916;
Short First;2;1;9;196;843;
Short First;2;1;9;196;733;
Short First;2;1;9;196;852;
Short First;2;1;9;196;717;
Short First;2;1;9;196;836;
Short First;2;1;12;243;818;
Short First;2;1;9;196;649;
Short First;2;1;9;196;945;
Short First;2;1;9;196;699;
Short First;2;1;9;196;1168;
Short First;2;1;9;196;683;
Short First;2;1;9;196;809;
Short First;2;1;9;196;850;
Short First;2;1;9;196;1085;
Short First;2;1;12;243;1088;
Short First;2;1;9;196;836;
Short First;2;1;9;196;930;
Short First;2;1;9;196;910;
Short First;2;1;9;196;1058;
Short First;2;1;9;196;1206;
Short First;2;1;9;196;823;
Short First;2;1;9;196;1095;
Short First;2;1;9;196;1080;
