Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
RoundRobin;2;1;9;196;831;
RoundRobin;2;1;9;196;770;
RoundRobin;2;1;9;196;692;
RoundRobin;2;1;9;196;776;
RoundRobin;2;1;9;196;736;
RoundRobin;2;1;9;196;786;
RoundRobin;2;1;9;196;780;
RoundRobin;2;1;9;196;818;
RoundRobin;2;1;9;196;762;
RoundRobin;2;1;9;196;832;
RoundRobin;2;1;9;196;782;
RoundRobin;2;1;9;196;807;
RoundRobin;2;1;9;211;937;
RoundRobin;2;1;9;196;885;
RoundRobin;2;1;9;196;1389;
RoundRobin;2;1;9;196;890;
RoundRobin;2;1;9;196;766;
RoundRobin;2;1;9;196;824;
RoundRobin;2;1;9;196;723;
RoundRobin;2;1;9;196;825;
RoundRobin;2;1;9;196;832;
RoundRobin;2;1;9;196;845;
RoundRobin;2;1;9;196;712;
RoundRobin;2;1;9;196;943;
RoundRobin;2;1;9;196;725;
RoundRobin;2;1;9;196;1001;
RoundRobin;2;1;9;196;696;
RoundRobin;2;1;9;196;747;
RoundRobin;2;1;9;196;673;
RoundRobin;2;1;9;196;748;
RoundRobin;2;1;9;196;837;
RoundRobin;2;1;9;196;855;
RoundRobin;2;1;9;196;841;
RoundRobin;2;1;9;196;711;
RoundRobin;2;1;9;196;900;
RoundRobin;2;1;9;196;808;
RoundRobin;2;1;9;196;919;
RoundRobin;2;1;9;196;838;
RoundRobin;2;1;9;196;945;
RoundRobin;2;1;9;196;807;
RoundRobin;2;1;9;196;1239;
RoundRobin;2;1;9;196;916;
RoundRobin;2;1;9;196;954;
RoundRobin;2;1;9;196;846;
RoundRobin;2;1;9;196;756;
RoundRobin;2;1;9;196;780;
RoundRobin;2;1;9;196;693;
RoundRobin;2;1;9;196;761;
RoundRobin;2;1;9;196;763;
RoundRobin;2;1;9;196;781;
RoundRobin;2;1;9;196;831;
RoundRobin;2;1;9;196;1104;
RoundRobin;2;1;9;196;847;
RoundRobin;2;1;9;196;1103;
RoundRobin;2;1;9;196;815;
RoundRobin;2;1;9;196;703;
RoundRobin;2;1;9;196;927;
RoundRobin;2;1;9;196;745;
RoundRobin;2;1;9;196;957;
RoundRobin;2;1;9;196;711;
RoundRobin;2;1;9;196;716;
RoundRobin;2;1;9;196;683;
RoundRobin;2;1;9;196;776;
RoundRobin;2;1;9;196;1038;
RoundRobin;2;1;9;196;845;
RoundRobin;2;1;9;196;905;
RoundRobin;2;1;9;196;858;
RoundRobin;2;1;9;196;974;
RoundRobin;2;1;9;196;1212;
RoundRobin;2;1;9;196;1074;
RoundRobin;2;1;12;259;764;
RoundRobin;2;1;9;196;934;
RoundRobin;2;1;9;196;706;
RoundRobin;2;1;9;196;872;
RoundRobin;2;1;9;196;938;
RoundRobin;2;1;9;196;899;
RoundRobin;2;1;12;259;785;
RoundRobin;2;1;9;196;919;
RoundRobin;2;1;9;196;789;
RoundRobin;2;1;9;196;892;
RoundRobin;2;1;9;196;931;
RoundRobin;2;1;9;196;888;
RoundRobin;2;1;9;196;1009;
RoundRobin;2;1;9;196;867;
RoundRobin;2;1;9;196;824;
RoundRobin;2;1;9;196;874;
RoundRobin;2;1;9;196;809;
RoundRobin;2;1;9;196;985;
RoundRobin;2;1;9;196;691;
RoundRobin;2;1;9;196;821;
RoundRobin;2;1;9;196;852;
RoundRobin;2;1;9;196;733;
RoundRobin;2;1;9;196;847;
RoundRobin;2;1;9;196;813;
RoundRobin;2;1;9;196;782;
RoundRobin;2;1;9;196;793;
RoundRobin;2;1;9;196;860;
RoundRobin;2;1;9;196;781;
RoundRobin;2;1;9;196;845;
RoundRobin;2;1;9;196;778;
