Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
First Come;1;0;9;196;1179;
First Come;1;0;9;196;831;
First Come;1;0;9;196;814;
First Come;1;0;9;196;1229;
First Come;1;0;9;196;883;
First Come;1;0;9;196;831;
First Come;1;0;9;196;924;
First Come;1;0;9;196;958;
First Come;1;0;9;196;906;
First Come;1;0;9;196;916;
First Come;1;0;9;196;967;
First Come;1;0;9;196;885;
First Come;1;0;9;196;1157;
First Come;1;0;9;196;1117;
First Come;1;0;9;196;930;
First Come;1;0;9;196;910;
First Come;1;0;9;196;932;
First Come;1;0;9;196;799;
First Come;1;0;9;196;987;
First Come;1;0;9;196;972;
First Come;1;0;9;196;894;
First Come;1;0;9;196;775;
First Come;1;0;9;196;1360;
First Come;1;0;9;196;790;
First Come;1;0;9;196;811;
First Come;1;0;9;196;774;
First Come;1;0;9;196;790;
First Come;1;0;9;196;949;
First Come;1;0;9;196;826;
First Come;1;0;9;196;881;
First Come;1;0;9;196;1311;
First Come;1;0;9;196;890;
First Come;1;0;9;196;921;
First Come;1;0;9;196;959;
First Come;1;0;9;196;902;
First Come;1;0;9;196;1014;
First Come;1;0;9;196;854;
First Come;1;0;9;196;924;
First Come;1;0;9;196;853;
First Come;1;0;9;196;866;
First Come;1;0;9;196;918;
First Come;1;0;9;196;986;
First Come;1;0;9;196;850;
First Come;1;0;9;196;881;
First Come;1;0;9;196;1030;
First Come;1;0;9;196;943;
First Come;1;0;9;196;1075;
First Come;1;0;9;196;849;
First Come;1;0;9;196;1542;
First Come;1;0;9;196;1481;
First Come;1;0;9;196;1190;
First Come;1;0;9;196;1671;
First Come;1;0;9;196;903;
First Come;1;0;9;196;988;
First Come;1;0;9;196;1385;
First Come;1;0;9;196;1035;
First Come;1;0;9;196;1035;
First Come;1;0;9;196;1046;
First Come;1;0;9;196;1005;
First Come;1;0;9;196;1204;
First Come;1;0;9;196;802;
First Come;1;0;9;196;956;
First Come;1;0;9;196;790;
First Come;1;0;9;196;942;
First Come;1;0;9;196;842;
First Come;1;0;9;196;1013;
First Come;1;0;9;196;960;
First Come;1;0;9;196;942;
First Come;1;0;9;196;970;
First Come;1;0;9;196;951;
First Come;1;0;9;196;898;
First Come;1;0;9;196;850;
First Come;1;0;9;196;1079;
First Come;1;0;9;196;1187;
First Come;1;0;9;196;937;
First Come;1;0;9;196;1229;
First Come;1;0;9;196;936;
First Come;1;0;9;196;939;
First Come;1;0;9;196;1102;
First Come;1;0;9;196;1137;
First Come;1;0;9;196;1125;
First Come;1;0;9;196;938;
First Come;1;0;9;196;1531;
First Come;1;0;9;196;950;
First Come;1;0;9;196;1177;
First Come;1;0;9;196;1052;
First Come;1;0;9;196;968;
First Come;1;0;9;196;876;
First Come;1;0;9;196;972;
First Come;1;0;9;196;1269;
First Come;1;0;9;196;979;
First Come;1;0;9;196;983;
First Come;1;0;9;196;958;
First Come;1;0;9;196;974;
First Come;1;0;9;196;805;
First Come;1;0;9;196;1098;
First Come;1;0;9;196;1156;
First Come;1;0;9;196;902;
First Come;1;0;9;196;933;
First Come;1;0;9;196;997;
