Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
First Come;2;0;9;196;817;
First Come;2;0;9;196;948;
First Come;2;0;9;196;920;
First Come;2;0;9;196;770;
First Come;2;0;9;196;717;
First Come;2;0;9;196;729;
First Come;2;0;12;247;1075;
First Come;2;0;9;196;1304;
First Come;2;0;9;196;912;
First Come;2;0;9;196;879;
First Come;2;0;9;196;785;
First Come;2;0;9;196;1246;
First Come;2;0;9;196;814;
First Come;2;0;12;243;1050;
First Come;2;0;9;196;789;
First Come;2;0;9;196;683;
First Come;2;0;9;196;706;
First Come;2;0;9;196;798;
First Come;2;0;9;196;714;
First Come;2;0;9;196;735;
First Come;2;0;9;196;792;
First Come;2;0;9;196;659;
First Come;2;0;9;196;794;
First Come;2;0;9;196;761;
First Come;2;0;9;196;762;
First Come;2;0;9;196;768;
First Come;2;0;9;196;746;
First Come;2;0;9;196;724;
First Come;2;0;9;196;698;
First Come;2;0;9;196;665;
First Come;2;0;9;196;842;
First Come;2;0;9;196;809;
First Come;2;0;9;196;636;
First Come;2;0;9;196;880;
First Come;2;0;9;196;784;
First Come;2;0;9;196;817;
First Come;2;0;9;196;1182;
First Come;2;0;9;196;779;
First Come;2;0;9;196;730;
First Come;2;0;9;196;697;
First Come;2;0;9;196;790;
First Come;2;0;9;196;790;
First Come;2;0;9;196;788;
First Come;2;0;9;196;844;
First Come;2;0;9;196;820;
First Come;2;0;9;196;798;
First Come;2;0;9;196;746;
First Come;2;0;9;196;692;
First Come;2;0;9;196;791;
First Come;2;0;12;243;1083;
First Come;2;0;9;196;804;
First Come;2;0;9;196;1012;
First Come;2;0;12;243;1609;
First Come;2;0;9;196;1257;
First Come;2;0;9;196;1127;
First Come;2;0;9;196;1149;
First Come;2;0;9;196;1160;
First Come;2;0;9;196;1225;
First Come;2;0;9;196;991;
First Come;2;0;9;196;908;
First Come;2;0;9;196;790;
First Come;2;0;9;196;828;
First Come;2;0;9;196;1152;
First Come;2;0;9;196;1266;
First Come;2;0;9;196;1166;
First Come;2;0;9;196;820;
First Come;2;0;9;196;1021;
First Come;2;0;9;196;807;
First Come;2;0;9;196;914;
First Come;2;0;9;196;721;
First Come;2;0;9;196;809;
First Come;2;0;9;196;715;
First Come;2;0;9;196;697;
First Come;2;0;9;196;729;
First Come;2;0;9;196;699;
First Come;2;0;9;196;863;
First Come;2;0;9;196;722;
First Come;2;0;9;196;803;
First Come;2;0;9;196;781;
First Come;2;0;9;196;790;
First Come;2;0;9;196;818;
First Come;2;0;9;196;697;
First Come;2;0;9;196;1017;
First Come;2;0;9;196;819;
First Come;2;0;9;196;844;
First Come;2;0;9;196;701;
First Come;2;0;9;196;823;
First Come;2;0;9;196;706;
First Come;2;0;9;196;754;
First Come;2;0;9;196;808;
First Come;2;0;9;196;747;
First Come;2;0;9;196;697;
First Come;2;0;9;196;832;
First Come;2;0;9;196;891;
First Come;2;0;9;196;834;
First Come;2;0;9;196;885;
First Come;2;0;9;196;873;
First Come;2;0;9;196;1032;
First Come;2;0;9;196;690;
First Come;2;0;9;196;666;
