Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
RoundRobin;1;1;9;196;1064;
RoundRobin;1;1;9;196;906;
RoundRobin;1;1;9;196;756;
RoundRobin;1;1;9;196;973;
RoundRobin;1;1;9;196;866;
RoundRobin;1;1;9;196;965;
RoundRobin;1;1;9;196;897;
RoundRobin;1;1;9;196;970;
RoundRobin;1;1;9;196;1038;
RoundRobin;1;1;9;196;989;
RoundRobin;1;1;9;196;898;
RoundRobin;1;1;9;196;1390;
RoundRobin;1;1;9;196;879;
RoundRobin;1;1;9;196;956;
RoundRobin;1;1;9;196;1071;
RoundRobin;1;1;9;196;964;
RoundRobin;1;1;9;196;1417;
RoundRobin;1;1;9;196;893;
RoundRobin;1;1;9;196;937;
RoundRobin;1;1;9;196;1381;
RoundRobin;1;1;9;196;1160;
RoundRobin;1;1;9;196;923;
RoundRobin;1;1;9;196;1011;
RoundRobin;1;1;9;196;836;
RoundRobin;1;1;9;196;895;
RoundRobin;1;1;9;196;880;
RoundRobin;1;1;9;196;806;
RoundRobin;1;1;9;196;964;
RoundRobin;1;1;9;196;1023;
RoundRobin;1;1;9;196;1181;
RoundRobin;1;1;9;196;850;
RoundRobin;1;1;9;196;847;
RoundRobin;1;1;9;196;834;
RoundRobin;1;1;9;196;898;
RoundRobin;1;1;9;196;930;
RoundRobin;1;1;9;196;1126;
RoundRobin;1;1;9;196;1204;
RoundRobin;1;1;9;196;1700;
RoundRobin;1;1;9;196;1515;
RoundRobin;1;1;9;196;1681;
RoundRobin;1;1;9;196;1159;
RoundRobin;1;1;9;196;1380;
RoundRobin;1;1;9;196;1421;
RoundRobin;1;1;9;196;1276;
RoundRobin;1;1;9;196;1486;
RoundRobin;1;1;9;196;1186;
RoundRobin;1;1;9;196;1044;
RoundRobin;1;1;9;196;1155;
RoundRobin;1;1;9;196;1157;
RoundRobin;1;1;9;196;957;
RoundRobin;1;1;9;196;912;
RoundRobin;1;1;9;196;992;
RoundRobin;1;1;9;196;1074;
RoundRobin;1;1;9;196;1164;
RoundRobin;1;1;9;196;1217;
RoundRobin;1;1;9;196;876;
RoundRobin;1;1;9;196;1013;
RoundRobin;1;1;9;196;1051;
RoundRobin;1;1;9;196;1037;
RoundRobin;1;1;9;196;1132;
RoundRobin;1;1;9;196;979;
RoundRobin;1;1;9;196;1162;
RoundRobin;1;1;9;196;1551;
RoundRobin;1;1;9;196;1168;
RoundRobin;1;1;9;196;930;
RoundRobin;1;1;9;196;844;
RoundRobin;1;1;9;196;922;
RoundRobin;1;1;9;196;843;
RoundRobin;1;1;9;196;1065;
RoundRobin;1;1;9;196;872;
RoundRobin;1;1;9;196;843;
RoundRobin;1;1;9;196;833;
RoundRobin;1;1;9;196;784;
RoundRobin;1;1;9;196;970;
RoundRobin;1;1;9;196;841;
RoundRobin;1;1;9;196;887;
RoundRobin;1;1;9;196;830;
RoundRobin;1;1;9;196;1231;
RoundRobin;1;1;9;196;959;
RoundRobin;1;1;9;196;869;
RoundRobin;1;1;9;196;875;
RoundRobin;1;1;9;196;821;
RoundRobin;1;1;9;196;916;
RoundRobin;1;1;9;196;865;
RoundRobin;1;1;9;196;993;
RoundRobin;1;1;9;196;946;
RoundRobin;1;1;9;196;991;
RoundRobin;1;1;9;196;1561;
RoundRobin;1;1;9;196;1036;
RoundRobin;1;1;9;196;956;
RoundRobin;1;1;9;196;1143;
RoundRobin;1;1;9;196;885;
RoundRobin;1;1;9;196;1160;
RoundRobin;1;1;9;196;1356;
RoundRobin;1;1;9;196;1058;
RoundRobin;1;1;9;196;971;
RoundRobin;1;1;9;196;915;
RoundRobin;1;1;9;196;1037;
RoundRobin;1;1;9;196;837;
RoundRobin;1;1;9;196;1100;
