Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
RoundRobin;2;0;9;196;836;
RoundRobin;2;0;9;196;747;
RoundRobin;2;0;9;196;1404;
RoundRobin;2;0;9;196;741;
RoundRobin;2;0;9;196;777;
RoundRobin;2;0;9;196;684;
RoundRobin;2;0;9;196;878;
RoundRobin;2;0;9;196;851;
RoundRobin;2;0;9;196;871;
RoundRobin;2;0;9;196;806;
RoundRobin;2;0;9;196;867;
RoundRobin;2;0;9;196;816;
RoundRobin;2;0;9;196;853;
RoundRobin;2;0;9;196;849;
RoundRobin;2;0;9;196;882;
RoundRobin;2;0;9;196;777;
RoundRobin;2;0;9;196;692;
RoundRobin;2;0;9;196;845;
RoundRobin;2;0;9;196;727;
RoundRobin;2;0;9;196;766;
RoundRobin;2;0;9;217;859;
RoundRobin;2;0;9;196;772;
RoundRobin;2;0;9;196;862;
RoundRobin;2;0;9;196;928;
RoundRobin;2;0;9;196;763;
RoundRobin;2;0;9;196;826;
RoundRobin;2;0;9;196;829;
RoundRobin;2;0;9;196;860;
RoundRobin;2;0;12;243;1001;
RoundRobin;2;0;9;196;905;
RoundRobin;2;0;9;196;675;
RoundRobin;2;0;9;196;764;
RoundRobin;2;0;9;196;1010;
RoundRobin;2;0;9;196;708;
RoundRobin;2;0;9;196;702;
RoundRobin;2;0;9;196;703;
RoundRobin;2;0;9;196;843;
RoundRobin;2;0;9;196;818;
RoundRobin;2;0;9;196;770;
RoundRobin;2;0;9;196;689;
RoundRobin;2;0;9;196;755;
RoundRobin;2;0;9;196;835;
RoundRobin;2;0;9;196;760;
RoundRobin;2;0;9;196;856;
RoundRobin;2;0;9;196;880;
RoundRobin;2;0;9;196;734;
RoundRobin;2;0;9;196;807;
RoundRobin;2;0;9;196;795;
RoundRobin;2;0;9;196;813;
RoundRobin;2;0;9;196;757;
RoundRobin;2;0;9;207;972;
RoundRobin;2;0;9;196;922;
RoundRobin;2;0;9;196;835;
RoundRobin;2;0;9;196;897;
RoundRobin;2;0;12;259;892;
RoundRobin;2;0;9;196;853;
RoundRobin;2;0;9;196;801;
RoundRobin;2;0;9;196;746;
RoundRobin;2;0;9;196;758;
RoundRobin;2;0;9;196;944;
RoundRobin;2;0;9;196;846;
RoundRobin;2;0;9;196;785;
RoundRobin;2;0;9;196;829;
RoundRobin;2;0;9;196;781;
RoundRobin;2;0;9;196;744;
RoundRobin;2;0;9;196;776;
RoundRobin;2;0;9;196;901;
RoundRobin;2;0;9;196;772;
RoundRobin;2;0;9;196;697;
RoundRobin;2;0;9;196;655;
RoundRobin;2;0;9;196;798;
RoundRobin;2;0;9;196;748;
RoundRobin;2;0;9;196;734;
RoundRobin;2;0;9;196;717;
RoundRobin;2;0;9;196;795;
RoundRobin;2;0;9;196;843;
RoundRobin;2;0;9;196;854;
RoundRobin;2;0;9;196;706;
RoundRobin;2;0;9;196;828;
RoundRobin;2;0;9;196;912;
RoundRobin;2;0;9;196;718;
RoundRobin;2;0;9;196;780;
RoundRobin;2;0;9;196;794;
RoundRobin;2;0;9;196;784;
RoundRobin;2;0;9;196;781;
RoundRobin;2;0;9;196;774;
RoundRobin;2;0;9;196;966;
RoundRobin;2;0;9;196;833;
RoundRobin;2;0;9;196;1078;
RoundRobin;2;0;9;196;810;
RoundRobin;2;0;9;196;754;
RoundRobin;2;0;9;196;713;
RoundRobin;2;0;9;196;931;
RoundRobin;2;0;9;196;737;
RoundRobin;2;0;9;196;886;
RoundRobin;2;0;9;196;880;
RoundRobin;2;0;9;196;862;
RoundRobin;2;0;9;196;667;
RoundRobin;2;0;9;196;1044;
RoundRobin;2;0;9;196;753;
