Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
First Come;2;1;9;196;741;
First Come;2;1;9;196;750;
First Come;2;1;9;196;819;
First Come;2;1;9;196;844;
First Come;2;1;9;196;832;
First Come;2;1;9;196;959;
First Come;2;1;9;196;842;
First Come;2;1;9;196;948;
First Come;2;1;9;196;838;
First Come;2;1;9;196;804;
First Come;2;1;9;196;877;
First Come;2;1;9;196;711;
First Come;2;1;9;196;1269;
First Come;2;1;9;196;762;
First Come;2;1;9;196;745;
First Come;2;1;9;196;834;
First Come;2;1;9;196;779;
First Come;2;1;12;247;835;
First Come;2;1;9;196;711;
First Come;2;1;9;196;784;
First Come;2;1;9;196;733;
First Come;2;1;9;196;740;
First Come;2;1;9;196;1477;
First Come;2;1;9;196;904;
First Come;2;1;9;196;796;
First Come;2;1;9;196;819;
First Come;2;1;9;196;761;
First Come;2;1;9;196;746;
First Come;2;1;9;196;780;
First Come;2;1;9;196;1336;
First Come;2;1;9;196;706;
First Come;2;1;9;196;735;
First Come;2;1;9;196;907;
First Come;2;1;9;196;804;
First Come;2;1;9;196;748;
First Come;2;1;9;196;673;
First Come;2;1;9;196;802;
First Come;2;1;9;196;737;
First Come;2;1;9;196;668;
First Come;2;1;9;196;833;
First Come;2;1;9;196;707;
First Come;2;1;9;196;851;
First Come;2;1;9;196;742;
First Come;2;1;9;196;984;
First Come;2;1;9;196;666;
First Come;2;1;9;196;782;
First Come;2;1;9;196;694;
First Come;2;1;9;196;927;
First Come;2;1;9;196;699;
First Come;2;1;9;196;871;
First Come;2;1;9;196;898;
First Come;2;1;9;196;919;
First Come;2;1;9;196;737;
First Come;2;1;9;196;817;
First Come;2;1;9;196;703;
First Come;2;1;9;196;828;
First Come;2;1;9;196;841;
First Come;2;1;9;196;925;
First Come;2;1;9;196;859;
First Come;2;1;9;196;782;
First Come;2;1;9;196;1228;
First Come;2;1;9;196;1306;
First Come;2;1;9;196;1004;
First Come;2;1;9;196;1017;
First Come;2;1;9;196;1297;
First Come;2;1;9;196;1196;
First Come;2;1;9;196;843;
First Come;2;1;9;196;1228;
First Come;2;1;9;196;1230;
First Come;2;1;9;196;795;
First Come;2;1;9;196;921;
First Come;2;1;9;196;996;
First Come;2;1;9;196;1051;
First Come;2;1;9;196;1205;
First Come;2;1;9;196;875;
First Come;2;1;9;196;809;
First Come;2;1;9;196;1017;
First Come;2;1;9;196;853;
First Come;2;1;9;196;940;
First Come;2;1;9;196;790;
First Come;2;1;9;196;874;
First Come;2;1;9;196;859;
First Come;2;1;9;196;786;
First Come;2;1;9;196;856;
First Come;2;1;9;196;810;
First Come;2;1;9;196;741;
First Come;2;1;9;196;1000;
First Come;2;1;9;196;718;
First Come;2;1;9;196;717;
First Come;2;1;9;196;813;
First Come;2;1;9;196;736;
First Come;2;1;9;196;762;
First Come;2;1;9;196;892;
First Come;2;1;9;196;868;
First Come;2;1;9;196;861;
First Come;2;1;9;196;826;
First Come;2;1;9;196;757;
First Come;2;1;9;196;910;
First Come;2;1;9;196;798;
First Come;2;1;9;196;874;
