Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
Short First;1;1;9;196;1185;
Short First;1;1;9;196;1421;
Short First;1;1;9;196;1127;
Short First;1;1;9;196;1488;
Short First;1;1;9;196;1037;
Short First;1;1;9;196;842;
Short First;1;1;9;196;1553;
Short First;1;1;9;196;945;
Short First;1;1;9;196;1145;
Short First;1;1;9;196;1403;
Short First;1;1;9;196;1118;
Short First;1;1;9;196;1127;
Short First;1;1;9;196;955;
Short First;1;1;9;196;887;
Short First;1;1;9;196;761;
Short First;1;1;9;196;838;
Short First;1;1;9;196;909;
Short First;1;1;9;196;1056;
Short First;1;1;9;196;814;
Short First;1;1;9;196;1112;
Short First;1;1;9;196;806;
Short First;1;1;9;196;1155;
Short First;1;1;9;196;873;
Short First;1;1;9;196;1021;
Short First;1;1;9;196;940;
Short First;1;1;9;196;974;
Short First;1;1;9;196;848;
Short First;1;1;9;196;965;
Short First;1;1;9;196;937;
Short First;1;1;9;196;901;
Short First;1;1;9;196;970;
Short First;1;1;9;196;790;
Short First;1;1;9;196;865;
Short First;1;1;9;196;815;
Short First;1;1;9;196;841;
Short First;1;1;9;196;850;
Short First;1;1;9;196;826;
Short First;1;1;9;196;851;
Short First;1;1;9;196;802;
Short First;1;1;9;196;914;
Short First;1;1;9;196;931;
Short First;1;1;9;196;934;
Short First;1;1;9;196;810;
Short First;1;1;9;196;1005;
Short First;1;1;9;196;796;
Short First;1;1;9;196;814;
Short First;1;1;9;196;886;
Short First;1;1;9;196;1036;
Short First;1;1;9;196;846;
Short First;1;1;9;196;807;
Short First;1;1;9;196;914;
Short First;1;1;9;196;1462;
Short First;1;1;9;196;1155;
Short First;1;1;9;196;840;
Short First;1;1;9;196;892;
Short First;1;1;9;196;817;
Short First;1;1;9;196;788;
Short First;1;1;9;196;825;
Short First;1;1;9;196;923;
Short First;1;1;9;196;814;
Short First;1;1;9;196;812;
Short First;1;1;9;196;888;
Short First;1;1;9;196;828;
Short First;1;1;9;196;993;
Short First;1;1;9;196;821;
Short First;1;1;9;196;903;
Short First;1;1;9;196;859;
Short First;1;1;9;196;942;
Short First;1;1;9;196;781;
Short First;1;1;9;196;858;
Short First;1;1;9;196;854;
Short First;1;1;9;196;758;
Short First;1;1;9;196;952;
Short First;1;1;9;196;901;
Short First;1;1;9;196;1409;
Short First;1;1;9;196;933;
Short First;1;1;9;196;842;
Short First;1;1;9;196;757;
Short First;1;1;9;196;1572;
Short First;1;1;9;196;804;
Short First;1;1;9;196;1014;
Short First;1;1;9;196;840;
Short First;1;1;9;196;945;
Short First;1;1;9;196;961;
Short First;1;1;9;196;1034;
Short First;1;1;9;196;854;
Short First;1;1;9;196;800;
Short First;1;1;9;196;1044;
Short First;1;1;9;196;791;
Short First;1;1;9;196;888;
Short First;1;1;9;196;897;
Short First;1;1;9;196;2201;
Short First;1;1;9;196;1123;
Short First;1;1;9;196;840;
Short First;1;1;9;196;1022;
Short First;1;1;9;196;865;
Short First;1;1;9;196;799;
Short First;1;1;9;196;920;
Short First;1;1;9;196;1032;
Short First;1;1;9;196;1001;
