Escalonador;MC 1, Cache 0;MC 1, Cache 1;MC 2, Cache 0;MC 2, Cache 1
RoundRobin;914.44;899.0;1001.9816513761468;1073.36
First Come;1101.91;1081.96;1243.6666666666667;833.0
