Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
RoundRobin;1;1;3;210;925;
RoundRobin;1;1;3;210;893;
RoundRobin;1;1;3;210;832;
RoundRobin;1;1;3;210;872;
RoundRobin;1;1;3;210;772;
RoundRobin;1;1;3;210;848;
RoundRobin;1;1;3;210;828;
RoundRobin;1;1;3;210;970;
RoundRobin;1;1;3;210;1084;
RoundRobin;1;1;3;210;1127;
RoundRobin;1;1;3;210;870;
RoundRobin;1;1;3;210;932;
RoundRobin;1;1;3;210;858;
RoundRobin;1;1;3;210;875;
RoundRobin;1;1;3;210;933;
RoundRobin;1;1;3;210;871;
RoundRobin;1;1;3;210;970;
RoundRobin;1;1;3;210;792;
RoundRobin;1;1;3;210;767;
RoundRobin;1;1;3;210;836;
RoundRobin;1;1;3;210;811;
RoundRobin;1;1;3;210;809;
RoundRobin;1;1;3;210;797;
RoundRobin;1;1;3;210;773;
RoundRobin;1;1;3;210;858;
RoundRobin;1;1;3;210;928;
RoundRobin;1;1;3;210;928;
RoundRobin;1;1;3;210;808;
RoundRobin;1;1;3;210;933;
RoundRobin;1;1;3;210;798;
RoundRobin;1;1;3;210;967;
RoundRobin;1;1;3;210;746;
RoundRobin;1;1;3;210;1009;
RoundRobin;1;1;3;210;871;
RoundRobin;1;1;3;210;777;
RoundRobin;1;1;3;210;767;
RoundRobin;1;1;3;210;790;
RoundRobin;1;1;3;210;1097;
RoundRobin;1;1;3;210;838;
RoundRobin;1;1;3;210;824;
RoundRobin;1;1;3;210;835;
RoundRobin;1;1;3;210;848;
RoundRobin;1;1;3;210;868;
RoundRobin;1;1;3;210;1682;
RoundRobin;1;1;3;210;791;
RoundRobin;1;1;3;210;755;
RoundRobin;1;1;3;210;943;
RoundRobin;1;1;3;210;883;
RoundRobin;1;1;3;210;1080;
RoundRobin;1;1;3;210;870;
RoundRobin;1;1;3;210;881;
RoundRobin;1;1;3;210;799;
RoundRobin;1;1;3;210;855;
RoundRobin;1;1;3;210;852;
RoundRobin;1;1;3;210;760;
RoundRobin;1;1;3;210;827;
RoundRobin;1;1;3;210;746;
RoundRobin;1;1;3;210;856;
RoundRobin;1;1;3;210;1096;
RoundRobin;1;1;3;210;903;
RoundRobin;1;1;3;210;959;
RoundRobin;1;1;3;210;1286;
RoundRobin;1;1;3;210;838;
RoundRobin;1;1;3;210;819;
RoundRobin;1;1;3;210;789;
RoundRobin;1;1;3;210;896;
RoundRobin;1;1;3;210;923;
RoundRobin;1;1;3;210;806;
RoundRobin;1;1;3;210;856;
RoundRobin;1;1;3;210;819;
RoundRobin;1;1;3;210;1187;
RoundRobin;1;1;3;210;758;
RoundRobin;1;1;3;210;1241;
RoundRobin;1;1;3;210;1116;
RoundRobin;1;1;3;210;880;
RoundRobin;1;1;3;210;869;
RoundRobin;1;1;3;210;828;
RoundRobin;1;1;3;210;881;
RoundRobin;1;1;3;210;795;
RoundRobin;1;1;3;210;878;
RoundRobin;1;1;3;210;799;
RoundRobin;1;1;3;210;891;
RoundRobin;1;1;3;210;768;
RoundRobin;1;1;3;210;828;
RoundRobin;1;1;3;210;742;
RoundRobin;1;1;3;210;1078;
RoundRobin;1;1;3;210;775;
RoundRobin;1;1;3;210;877;
RoundRobin;1;1;3;210;1180;
RoundRobin;1;1;3;210;800;
RoundRobin;1;1;3;210;1195;
RoundRobin;1;1;3;210;798;
RoundRobin;1;1;3;210;867;
RoundRobin;1;1;3;210;800;
RoundRobin;1;1;3;210;925;
RoundRobin;1;1;3;210;830;
RoundRobin;1;1;3;210;1156;
RoundRobin;1;1;3;210;1306;
RoundRobin;1;1;3;210;754;
RoundRobin;1;1;3;210;993;
