Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
RoundRobin;2;0;9;216;2175;
RoundRobin;2;0;9;216;1208;
RoundRobin;2;0;9;222;876;
RoundRobin;2;0;9;216;1091;
RoundRobin;2;0;9;222;861;
RoundRobin;2;0;9;216;952;
RoundRobin;2;0;9;216;794;
RoundRobin;2;0;9;219;1307;
RoundRobin;2;0;9;222;850;
RoundRobin;2;0;9;222;1156;
RoundRobin;2;0;9;216;769;
RoundRobin;2;0;9;216;1107;
RoundRobin;2;0;9;222;826;
RoundRobin;2;0;12;266;904;
RoundRobin;2;0;9;216;830;
RoundRobin;2;0;9;222;1347;
RoundRobin;2;0;9;222;800;
RoundRobin;2;0;9;219;1230;
RoundRobin;2;0;9;225;953;
RoundRobin;2;0;9;219;1664;
RoundRobin;2;0;9;216;888;
RoundRobin;2;0;9;216;668;
RoundRobin;2;0;9;222;1081;
RoundRobin;2;0;9;219;860;
RoundRobin;2;0;9;216;896;
RoundRobin;2;0;9;216;837;
RoundRobin;2;0;9;216;993;
RoundRobin;2;0;9;222;877;
RoundRobin;2;0;9;222;936;
RoundRobin;2;0;9;219;951;
RoundRobin;2;0;9;222;1223;
RoundRobin;2;0;9;219;944;
RoundRobin;2;0;9;222;1015;
RoundRobin;2;0;9;222;867;
RoundRobin;2;0;9;225;1169;
RoundRobin;2;0;9;219;688;
RoundRobin;2;0;9;219;1079;
RoundRobin;2;0;9;222;915;
RoundRobin;2;0;9;216;927;
RoundRobin;2;0;6;178;1014;
RoundRobin;2;0;9;219;1265;
RoundRobin;2;0;9;219;749;
RoundRobin;2;0;9;216;1022;
RoundRobin;2;0;9;225;1154;
RoundRobin;2;0;9;222;800;
RoundRobin;2;0;9;222;974;
RoundRobin;2;0;9;216;1339;
RoundRobin;2;0;9;222;1201;
RoundRobin;2;0;9;222;839;
RoundRobin;2;0;9;219;724;
RoundRobin;2;0;9;216;797;
RoundRobin;2;0;9;219;1011;
RoundRobin;2;0;9;216;838;
RoundRobin;2;0;9;219;853;
RoundRobin;2;0;9;216;900;
RoundRobin;2;0;9;222;1164;
RoundRobin;2;0;9;219;789;
RoundRobin;2;0;9;222;928;
RoundRobin;2;0;9;225;1192;
RoundRobin;2;0;9;225;1659;
RoundRobin;2;0;9;219;1009;
RoundRobin;2;0;9;219;1244;
RoundRobin;2;0;9;219;741;
RoundRobin;2;0;9;216;828;
RoundRobin;2;0;9;216;742;
RoundRobin;2;0;9;219;1087;
RoundRobin;2;0;9;216;966;
RoundRobin;2;0;9;225;1047;
RoundRobin;2;0;9;219;872;
RoundRobin;2;0;9;216;988;
RoundRobin;2;0;9;216;976;
RoundRobin;2;0;9;222;983;
RoundRobin;2;0;9;216;1151;
RoundRobin;2;0;9;216;689;
RoundRobin;2;0;9;219;1268;
RoundRobin;2;0;9;219;763;
RoundRobin;2;0;9;219;1298;
RoundRobin;2;0;9;222;1119;
RoundRobin;2;0;9;219;1131;
RoundRobin;2;0;12;294;1280;
RoundRobin;2;0;9;222;1273;
RoundRobin;2;0;9;216;859;
RoundRobin;2;0;9;222;875;
RoundRobin;2;0;9;222;1035;
RoundRobin;2;0;9;222;984;
RoundRobin;2;0;9;222;1286;
RoundRobin;2;0;9;219;932;
RoundRobin;2;0;9;219;1271;
RoundRobin;2;0;9;219;724;
RoundRobin;2;0;9;219;889;
RoundRobin;2;0;9;219;675;
RoundRobin;2;0;9;219;798;
RoundRobin;2;0;9;216;760;
RoundRobin;2;0;9;216;756;
RoundRobin;2;0;9;219;684;
RoundRobin;2;0;9;219;1726;
RoundRobin;2;0;6;175;1218;
RoundRobin;2;0;9;219;701;
RoundRobin;2;0;9;225;2045;
RoundRobin;2;0;9;225;996;
RoundRobin;2;0;9;219;1036;
RoundRobin;2;0;9;219;919;
RoundRobin;2;0;9;222;752;
RoundRobin;2;0;9;216;778;
RoundRobin;2;0;9;219;664;
RoundRobin;2;0;9;219;957;
RoundRobin;2;0;9;222;860;
RoundRobin;2;0;6;181;1057;
RoundRobin;2;0;9;219;798;
