Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
RoundRobin;1;0;9;216;1250;
RoundRobin;1;0;9;216;839;
RoundRobin;1;0;9;216;988;
RoundRobin;1;0;9;216;1033;
RoundRobin;1;0;9;216;1171;
RoundRobin;1;0;9;216;957;
RoundRobin;1;0;9;216;1045;
RoundRobin;1;0;9;216;840;
RoundRobin;1;0;9;216;831;
RoundRobin;1;0;9;216;874;
RoundRobin;1;0;9;216;950;
RoundRobin;1;0;9;216;1088;
RoundRobin;1;0;9;216;959;
RoundRobin;1;0;9;216;1069;
RoundRobin;1;0;9;216;892;
RoundRobin;1;0;9;216;1282;
RoundRobin;1;0;9;216;1309;
RoundRobin;1;0;9;216;912;
RoundRobin;1;0;9;216;810;
RoundRobin;1;0;9;216;914;
RoundRobin;1;0;9;216;814;
RoundRobin;1;0;9;216;894;
RoundRobin;1;0;9;216;840;
RoundRobin;1;0;9;216;988;
RoundRobin;1;0;9;216;814;
RoundRobin;1;0;9;216;894;
RoundRobin;1;0;9;216;780;
RoundRobin;1;0;9;216;975;
RoundRobin;1;0;9;216;840;
RoundRobin;1;0;9;216;773;
RoundRobin;1;0;9;216;797;
RoundRobin;1;0;9;216;802;
RoundRobin;1;0;9;216;854;
RoundRobin;1;0;9;216;809;
RoundRobin;1;0;9;216;964;
RoundRobin;1;0;9;216;815;
RoundRobin;1;0;9;216;811;
RoundRobin;1;0;9;216;830;
RoundRobin;1;0;9;216;834;
RoundRobin;1;0;9;216;972;
RoundRobin;1;0;9;216;792;
RoundRobin;1;0;9;216;1116;
RoundRobin;1;0;9;216;756;
RoundRobin;1;0;9;216;1000;
RoundRobin;1;0;9;216;1051;
RoundRobin;1;0;9;216;930;
RoundRobin;1;0;9;216;809;
RoundRobin;1;0;9;216;770;
RoundRobin;1;0;9;216;1196;
RoundRobin;1;0;9;216;1169;
RoundRobin;1;0;9;216;1015;
RoundRobin;1;0;9;216;825;
RoundRobin;1;0;9;216;806;
RoundRobin;1;0;9;216;1109;
RoundRobin;1;0;9;216;847;
RoundRobin;1;0;9;216;911;
RoundRobin;1;0;9;216;1062;
RoundRobin;1;0;9;216;1026;
RoundRobin;1;0;9;216;837;
RoundRobin;1;0;9;216;797;
RoundRobin;1;0;9;216;897;
RoundRobin;1;0;9;216;867;
RoundRobin;1;0;9;216;796;
RoundRobin;1;0;9;216;839;
RoundRobin;1;0;9;216;752;
RoundRobin;1;0;9;216;804;
RoundRobin;1;0;9;216;842;
RoundRobin;1;0;9;216;812;
RoundRobin;1;0;9;216;1271;
RoundRobin;1;0;9;216;792;
RoundRobin;1;0;9;216;996;
RoundRobin;1;0;9;216;850;
RoundRobin;1;0;9;216;1155;
RoundRobin;1;0;9;216;891;
RoundRobin;1;0;9;216;891;
RoundRobin;1;0;9;216;790;
RoundRobin;1;0;9;216;871;
RoundRobin;1;0;9;216;970;
RoundRobin;1;0;9;216;762;
RoundRobin;1;0;9;216;950;
RoundRobin;1;0;9;216;763;
RoundRobin;1;0;9;216;812;
RoundRobin;1;0;9;216;884;
RoundRobin;1;0;9;216;768;
RoundRobin;1;0;9;216;1081;
RoundRobin;1;0;9;216;895;
RoundRobin;1;0;9;216;1209;
RoundRobin;1;0;9;216;790;
RoundRobin;1;0;9;216;748;
RoundRobin;1;0;9;216;850;
RoundRobin;1;0;9;216;828;
RoundRobin;1;0;9;216;840;
RoundRobin;1;0;9;216;869;
RoundRobin;1;0;9;216;925;
RoundRobin;1;0;9;216;792;
RoundRobin;1;0;9;216;834;
RoundRobin;1;0;9;216;824;
RoundRobin;1;0;9;216;900;
RoundRobin;1;0;9;216;1212;
RoundRobin;1;0;9;216;885;
