Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
First Come;1;1;3;210;1186;
First Come;1;1;3;210;1287;
First Come;1;1;3;210;1147;
First Come;1;1;3;210;887;
First Come;1;1;3;210;859;
First Come;1;1;3;210;987;
First Come;1;1;3;210;1001;
First Come;1;1;3;210;1077;
First Come;1;1;3;210;841;
First Come;1;1;3;210;961;
First Come;1;1;3;210;878;
First Come;1;1;3;210;1615;
First Come;1;1;3;210;846;
First Come;1;1;3;210;1351;
First Come;1;1;3;210;788;
First Come;1;1;3;210;1047;
First Come;1;1;3;210;902;
First Come;1;1;3;210;810;
First Come;1;1;3;210;845;
First Come;1;1;3;210;1558;
First Come;1;1;3;210;2446;
First Come;1;1;3;210;1064;
First Come;1;1;3;210;1290;
First Come;1;1;3;210;1199;
First Come;1;1;3;210;1054;
First Come;1;1;3;210;1354;
First Come;1;1;3;210;921;
First Come;1;1;3;210;865;
First Come;1;1;3;210;811;
First Come;1;1;3;210;1113;
First Come;1;1;3;210;1169;
First Come;1;1;3;210;897;
First Come;1;1;3;210;1206;
First Come;1;1;3;210;830;
First Come;1;1;3;210;1178;
First Come;1;1;3;210;912;
First Come;1;1;3;210;1497;
First Come;1;1;3;210;803;
First Come;1;1;3;210;1258;
First Come;1;1;3;210;796;
First Come;1;1;3;210;1187;
First Come;1;1;3;210;1014;
First Come;1;1;3;210;881;
First Come;1;1;3;210;1220;
First Come;1;1;3;210;839;
First Come;1;1;3;210;1080;
First Come;1;1;3;210;1569;
First Come;1;1;3;210;1075;
First Come;1;1;3;210;831;
First Come;1;1;3;210;916;
First Come;1;1;3;210;795;
First Come;1;1;3;210;2074;
First Come;1;1;3;210;1050;
First Come;1;1;3;210;1025;
First Come;1;1;3;210;1067;
First Come;1;1;3;210;1124;
First Come;1;1;3;210;1119;
First Come;1;1;3;210;974;
First Come;1;1;3;210;1165;
First Come;1;1;3;210;1094;
First Come;1;1;3;210;995;
First Come;1;1;3;210;908;
First Come;1;1;3;210;923;
First Come;1;1;3;210;1169;
First Come;1;1;3;210;1098;
First Come;1;1;3;210;1059;
First Come;1;1;3;210;843;
First Come;1;1;3;210;1181;
First Come;1;1;3;210;849;
First Come;1;1;3;210;1639;
First Come;1;1;3;210;1141;
First Come;1;1;3;210;1019;
First Come;1;1;3;210;1129;
First Come;1;1;3;210;1254;
First Come;1;1;3;210;904;
First Come;1;1;3;210;984;
First Come;1;1;3;210;1007;
First Come;1;1;3;210;868;
First Come;1;1;3;210;1143;
First Come;1;1;3;210;800;
First Come;1;1;3;210;1203;
First Come;1;1;3;210;967;
First Come;1;1;3;210;1050;
First Come;1;1;3;210;1224;
First Come;1;1;3;210;865;
First Come;1;1;3;210;962;
First Come;1;1;3;210;1613;
First Come;1;1;3;210;932;
First Come;1;1;3;210;1131;
First Come;1;1;3;210;1078;
First Come;1;1;3;210;890;
First Come;1;1;3;210;1102;
First Come;1;1;3;210;999;
First Come;1;1;3;210;1340;
First Come;1;1;3;210;1073;
First Come;1;1;3;210;983;
First Come;1;1;3;210;866;
First Come;1;1;3;210;1327;
First Come;1;1;3;210;953;
First Come;1;1;3;210;1090;
