Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
First Come;1;0;9;216;895;
First Come;1;0;9;216;1060;
First Come;1;0;9;216;880;
First Come;1;0;9;216;857;
First Come;1;0;9;216;998;
First Come;1;0;9;216;991;
First Come;1;0;9;216;1156;
First Come;1;0;9;216;1126;
First Come;1;0;9;216;1042;
First Come;1;0;9;216;1162;
First Come;1;0;9;216;981;
First Come;1;0;9;216;1180;
First Come;1;0;9;216;758;
First Come;1;0;9;216;958;
First Come;1;0;9;216;898;
First Come;1;0;9;216;866;
First Come;1;0;9;216;1373;
First Come;1;0;9;216;797;
First Come;1;0;9;216;1587;
First Come;1;0;9;216;742;
First Come;1;0;9;216;848;
First Come;1;0;9;216;1103;
First Come;1;0;9;216;1105;
First Come;1;0;9;216;969;
First Come;1;0;9;216;1830;
First Come;1;0;9;216;743;
First Come;1;0;9;216;1568;
First Come;1;0;9;216;1922;
First Come;1;0;9;216;1093;
First Come;1;0;9;216;846;
First Come;1;0;9;216;1409;
First Come;1;0;9;216;776;
First Come;1;0;9;216;1675;
First Come;1;0;9;216;1117;
First Come;1;0;9;216;1006;
First Come;1;0;9;216;1294;
First Come;1;0;9;216;795;
First Come;1;0;9;216;1548;
First Come;1;0;9;216;1039;
First Come;1;0;9;216;1091;
First Come;1;0;9;216;1043;
First Come;1;0;9;216;896;
First Come;1;0;9;216;900;
First Come;1;0;9;216;1014;
First Come;1;0;9;216;1208;
First Come;1;0;9;216;970;
First Come;1;0;9;216;852;
First Come;1;0;9;216;1154;
First Come;1;0;9;216;789;
First Come;1;0;9;216;1150;
First Come;1;0;9;216;995;
First Come;1;0;9;216;1282;
First Come;1;0;9;216;829;
First Come;1;0;9;216;1689;
First Come;1;0;9;216;846;
First Come;1;0;9;216;878;
First Come;1;0;9;216;823;
First Come;1;0;9;216;1328;
First Come;1;0;9;216;1026;
First Come;1;0;9;216;843;
First Come;1;0;9;216;1400;
First Come;1;0;9;216;983;
First Come;1;0;9;216;1077;
First Come;1;0;9;216;1020;
First Come;1;0;9;216;1231;
First Come;1;0;9;216;1171;
First Come;1;0;9;216;927;
First Come;1;0;9;216;1002;
First Come;1;0;9;216;808;
First Come;1;0;9;216;1433;
First Come;1;0;9;216;868;
First Come;1;0;9;216;1079;
First Come;1;0;9;216;822;
First Come;1;0;9;216;1239;
First Come;1;0;9;216;1128;
First Come;1;0;9;216;1020;
First Come;1;0;9;216;1574;
First Come;1;0;9;216;910;
First Come;1;0;9;216;1143;
First Come;1;0;9;216;843;
First Come;1;0;9;216;1920;
First Come;1;0;9;216;1429;
First Come;1;0;9;216;868;
First Come;1;0;9;216;1300;
First Come;1;0;9;216;929;
First Come;1;0;9;216;1135;
First Come;1;0;9;216;839;
First Come;1;0;9;216;1498;
First Come;1;0;9;216;901;
First Come;1;0;9;216;1085;
First Come;1;0;9;216;1105;
First Come;1;0;9;216;1671;
First Come;1;0;9;216;1010;
First Come;1;0;9;216;1372;
First Come;1;0;9;216;954;
First Come;1;0;9;216;1359;
First Come;1;0;9;216;796;
First Come;1;0;9;216;1476;
First Come;1;0;9;216;731;
First Come;1;0;9;216;1536;
